Followers	Collaborators	TimeDiffInMins
326	0	1282
326	0	445
0	0	1273
3	0	14
3	0	14
326	0	81
0	0	370
116	0	160
215	0	3
215	0	697
215	0	697
116	0	1269
116	0	1145
116	0	1145
116	0	137
116	0	137
116	0	137
116	0	137
215	0	24
215	0	24
215	0	0
215	0	0
116	0	386
116	0	386
116	0	52
116	0	52
116	0	52
20	0	0
20	0	0
116	0	1265
116	0	1265
116	0	1265
116	0	1265
215	0	9
116	0	1
116	0	1
0	0	109
0	0	109
116	0	113
0	0	693
215	0	107
0	0	532
0	0	532
215	0	0
116	0	234
215	0	1
215	0	1
116	0	3
116	0	0
0	0	524
31	0	644
0	0	399
116	0	7
116	0	6
116	0	6
12	0	796
12	0	796
116	0	0
116	0	0
6	0	1378
6	0	1378
215	0	29
0	0	1279
0	0	1279
116	0	89
116	0	89
215	0	1278
215	0	1278
215	0	1278
11	0	4
11	0	4
8	0	11
215	0	45
215	0	45
16	0	11
16	0	11
16	0	11
16	0	11
215	0	1130
215	0	1130
0	0	149
0	0	13
0	0	13
0	0	13
0	0	13
0	0	0
0	0	0
16	0	12
16	0	12
16	0	12
16	0	12
16	0	12
16	0	12
215	0	101
215	0	101
6	0	23
6	0	23
42	0	16
42	0	16
0	0	3
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	24
0	0	17
0	0	11
0	0	206
0	0	206
0	0	366
0	0	1211
0	0	602
3	0	719
3	0	39
3	0	39
199	0	5
42	0	35
42	0	35
42	0	35
199	0	90
199	0	90
199	0	90
199	0	90
326	0	5
326	0	5
326	0	5
42	0	33
42	0	33
326	0	69
326	0	69
31	0	1
34	0	6
34	0	6
326	0	277
326	0	277
2	0	9
2	0	9
199	0	1183
34	0	0
34	0	0
34	0	0
34	0	0
326	0	77
326	0	77
326	0	77
326	0	77
2	0	64
2	0	64
2	0	64
2	0	64
42	0	49
199	0	1
199	0	1
34	0	55
34	0	55
24	0	16
24	0	16
0	0	24
24	0	0
24	0	0
24	0	0
326	0	121
1	0	33
1	0	979
31	0	20
31	0	20
31	0	20
31	0	20
31	0	20
31	0	20
31	0	20
31	0	20
0	0	534
34	0	1058
34	0	101
34	0	101
34	0	101
45	0	220
45	0	220
326	0	79
326	0	79
326	0	79
326	0	79
326	0	79
326	0	79
326	0	79
326	0	79
34	0	1180
34	0	1180
34	0	1180
34	0	1180
34	0	1180
34	0	1180
34	0	1180
34	0	1180
326	0	108
326	0	108
274	0	140
274	0	101
274	0	101
274	0	13
274	0	3
274	0	82
274	0	36
274	0	2
274	0	1
274	0	1
274	0	1
274	0	1
274	0	2
274	0	2
274	0	44
274	0	9
274	0	1010
274	0	1010
167	0	88
167	0	88
56	0	1136
53	0	1412
69	0	200
69	0	200
69	0	200
69	0	46
110	0	246
110	0	246
69	0	606
69	0	9
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
69	0	3
188	0	381
188	0	143
188	0	3
188	0	3
188	0	2
188	0	3
188	0	236
188	0	78
188	0	78
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	1218
188	0	386
188	0	386
188	0	300
1635	0	11
23	0	70
0	0	0
188	0	341
1635	0	1182
1635	0	1182
0	0	7
0	0	7
1635	0	5
1635	0	27
1635	0	16
1635	0	16
1635	0	3
1635	0	3
1635	0	75
1635	0	75
1635	0	1
1635	0	1
1635	0	36
21	0	1291
16	0	843
17	0	297
46	0	0
46	0	0
46	0	0
46	0	0
46	0	0
55	0	1034
130	0	29
46	0	147
184	0	18
46	0	150
46	0	150
56	0	2
130	0	894
130	0	108
242	0	118
242	0	118
130	0	19
130	0	19
56	0	7
46	0	0
46	0	0
46	0	0
46	0	0
130	0	0
130	0	0
0	0	1375
0	0	1375
0	0	1375
0	0	31
0	0	0
0	0	0
56	0	7
56	0	7
46	0	0
0	0	1285
130	0	114
50	0	29
56	0	5
56	0	1339
56	0	1339
46	0	0
0	0	97
130	0	49
130	0	49
56	0	26
56	0	11
56	0	11
46	0	1197
46	0	1197
46	0	1197
46	0	1197
46	0	1197
46	0	1197
46	0	33
0	0	7
0	0	7
0	0	129
50	0	237
50	0	35
56	0	863
130	0	25
130	0	25
130	0	25
130	0	68
46	0	20
46	0	20
46	0	20
46	0	20
46	0	60
46	0	24
46	0	24
46	0	24
46	0	24
56	0	2
56	0	2
56	0	2
56	0	2
56	0	2
56	0	2
56	0	18
0	0	3
46	0	1
130	0	6
130	0	6
196	0	22
0	0	9
0	0	9
0	0	1175
0	0	1175
0	0	21
46	0	1273
46	0	1273
0	0	385
0	0	385
130	0	1
46	0	1024
46	0	1024
46	0	1024
0	0	1298
0	0	1298
0	0	73
0	0	5
0	0	5
0	0	1407
0	0	1407
0	0	1407
0	0	417
56	0	16
46	0	0
46	0	0
46	0	0
46	0	0
46	0	0
46	0	0
56	0	5
56	0	5
56	0	18
56	0	18
56	0	15
56	0	11
0	0	163
0	0	163
0	0	163
56	0	127
0	0	196
0	0	196
0	0	196
0	0	196
0	0	196
0	0	196
56	0	843
46	0	713
0	0	16
0	0	16
0	0	1029
0	0	1029
56	0	3
56	0	3
56	0	3
46	0	7
46	0	7
56	0	63
0	0	2
0	0	34
0	0	17
0	0	17
0	0	17
0	0	608
0	0	608
0	0	331
0	0	6
0	0	6
0	0	883
0	0	720
0	0	720
0	0	1249
104	0	986
26	0	581
26	0	581
59692	0	484
59692	0	0
18	0	1193
18	0	1193
379	0	595
379	0	595
0	0	928
0	0	928
635	0	96
635	0	771
635	0	771
635	0	3
26	0	1411
23	0	1157
23	0	173
1	0	168
23	0	771
23	0	771
26	0	7
23	0	1
0	0	226
0	0	284
0	0	284
0	0	284
54	0	3
54	0	3
16520	0	2
326	0	0
125	0	410
24	0	1
1061	0	71
1061	0	4
1061	0	337
326	0	2
326	0	322
1061	0	106
1061	0	106
1061	0	1
1061	0	1
1061	0	159
1061	0	159
1061	0	33
1061	0	1200
1061	0	248
326	0	614
1061	0	1
1061	0	7
1061	0	12
1061	0	12
1061	0	189
1061	0	189
1061	0	189
1061	0	28
1061	0	28
1061	0	28
1061	0	28
1061	0	62
1061	0	22
1061	0	2
1061	0	295
1061	0	295
326	0	0
326	0	0
0	0	818
0	0	818
3207	0	205
3207	0	36
326	0	945
0	0	1344
3207	0	6
3207	0	0
3207	0	0
3207	0	0
3207	0	11
3207	0	11
3207	0	40
3207	0	0
3207	0	0
3207	0	1
3207	0	25
3207	0	25
3207	0	25
3207	0	218
3207	0	218
326	0	3
5	0	250
5	0	250
3207	0	0
3207	0	726
8	0	406
8	0	406
3207	0	420
3207	0	420
3207	0	418
3207	0	418
3207	0	5
3207	0	5
3207	0	5
3207	0	5
3207	0	6
3207	0	6
3207	0	6
3207	0	6
3207	0	1283
3207	0	1279
96	0	1
96	0	1
96	0	1
96	0	1
0	0	1121
3207	0	822
3207	0	386
3207	0	386
3207	0	4
3207	0	4
3207	0	1310
3207	0	246
3207	0	2
3207	0	2
3207	0	2
3207	0	11
3207	0	11
3207	0	4
3207	0	11
3207	0	11
3207	0	11
3207	0	11
3207	0	11
3207	0	11
3207	0	1119
3207	0	644
3207	0	644
3207	0	139
3207	0	139
3207	0	1
3207	0	0
3207	0	0
3207	0	0
3207	0	0
3207	0	0
3207	0	0
3207	0	6
482	0	1297
326	0	108
326	0	108
34	0	1099
34	0	1099
34	0	1099
34	0	1099
2	0	0
2	0	0
2	0	589
326	0	485
6	0	289
326	0	111
34	0	260
0	0	14
13	0	5
13	0	5
2	0	0
326	0	33
199	0	31
199	0	969
326	0	87
0	0	71
57	0	86
1	0	369
1	0	32
326	0	220
0	0	148
326	0	7
326	0	7
326	0	7
1	0	581
1	0	581
1	0	581
1	0	480
1	0	480
1	0	480
326	0	37
1	0	1385
28	0	688
28	0	688
28	0	688
28	0	688
28	0	688
28	0	688
28	0	688
28	0	688
28	0	27
28	0	27
34	0	37
34	0	37
326	0	51
6	0	110
326	0	87
326	0	87
6	0	75
6	0	75
199	0	358
14	0	7
6	0	17
6	0	13
6	0	20
6	0	111
326	0	75
326	0	75
3	0	33
3	0	33
14	0	14
14	0	14
6	0	1087
6	0	1087
199	0	1071
34	0	0
6	0	109
14	0	199
199	0	10
199	0	10
326	0	33
326	0	33
326	0	101
326	0	101
326	0	101
3	0	464
3	0	464
3	0	464
14	0	371
199	0	867
199	0	867
46	0	0
14	0	0
14	0	0
34	0	34
34	0	34
34	0	34
34	0	34
326	0	94
326	0	94
199	0	205
199	0	205
13	0	1
13	0	78
4	0	1231
4	0	1231
6	0	1008
326	0	708
0	0	969
0	0	790
6	0	11
6	0	11
6	0	6
6	0	6
326	0	558
326	0	306
326	0	793
326	0	793
14	0	7
14	0	7
14	0	41
199	0	130
199	0	130
199	0	130
14	0	52
13	0	98
34	0	0
42	0	22
42	0	22
14	0	0
34	0	1289
34	0	1289
326	0	65
326	0	642
326	0	642
14	0	0
69	0	0
69	0	0
34	0	0
34	0	146
34	0	11
34	0	11
34	0	11
34	0	11
34	0	11
34	0	11
34	0	11
326	0	24
4	0	258
199	0	0
199	0	0
199	0	0
199	0	0
199	0	0
199	0	0
34	0	22
34	0	22
34	0	22
326	0	429
326	0	429
6	0	376
6	0	376
13	0	13
13	0	13
13	0	13
13	0	13
13	0	6
13	0	6
13	0	0
13	0	0
42	0	2
199	0	388
14	0	57
13	0	58
199	0	38
13	0	51
11	0	114
14	0	532
14	0	10
14	0	10
14	0	10
14	0	10
199	0	233
14	0	4
14	0	4
47	0	33
14	0	0
85	0	1077
34	0	41
24	0	873
24	0	873
31	0	34
31	0	278
31	0	278
31	0	278
31	0	21
31	0	21
85	0	61
85	0	61
85	0	61
85	0	61
0	0	57
0	0	57
0	0	57
0	0	57
199	0	124
199	0	124
31	0	1
42	0	27
42	0	27
42	0	18
42	0	108
42	0	108
34	0	1232
34	0	94
15	0	600
32	0	82
24	0	0
24	0	0
24	0	0
85	0	217
42	0	97
42	0	97
6	0	38
85	0	5
85	0	5
85	0	5
85	0	5
0	0	2
42	0	71
24	0	8
85	0	5
24	0	234
24	0	234
34	0	0
34	0	0
34	0	0
34	0	0
34	0	0
34	0	0
34	0	242
34	0	242
65	0	0
65	0	0
65	0	0
65	0	0
65	0	0
65	0	0
199	0	188
199	0	188
199	0	188
31	0	10
31	0	73
31	0	1393
31	0	1393
199	0	7
65	0	0
65	0	0
15	0	54
34	0	27
34	0	457
34	0	457
11	0	0
11	0	0
11	0	0
11	0	0
11	0	0
11	0	0
11	0	0
11	0	0
11	0	0
11	0	0
4	0	4
4	0	4
4	0	4
4	0	4
4	0	4
4	0	4
31	0	1243
31	0	1243
31	0	1243
42	0	1
42	0	1
42	0	891
42	0	891
42	0	891
42	0	891
42	0	891
31	0	0
34	0	2
199	0	78
199	0	257
199	0	257
3	0	214
3	0	214
31	0	2
31	0	2
31	0	2
4	0	13
4	0	13
4	0	31
4	0	31
4	0	31
4	0	31
4	0	31
199	0	58
24	0	13
24	0	13
24	0	13
24	0	13
24	0	13
24	0	13
0	0	139
199	0	944
199	0	944
31	0	456
31	0	456
9	0	47
9	0	47
4	0	922
4	0	254
0	0	29
0	0	29
0	0	29
0	0	105
0	0	105
0	0	105
0	0	105
199	0	12
42	0	37
42	0	37
0	0	27
0	0	27
42	0	107
42	0	107
42	0	107
42	0	107
0	0	136
0	0	136
0	0	136
0	0	136
24	0	115
31	0	110
31	0	7
199	0	36
31	0	0
199	0	0
199	0	0
0	0	1264
16	0	71
7	0	0
7	0	0
463	0	6
463	0	6
463	0	222
0	0	1096
0	0	1096
463	0	0
0	0	118
24	0	23
24	0	23
25	0	18
6	0	113
6	0	113
6	0	113
6	0	113
6	0	113
6	0	113
199	0	42
199	0	42
199	0	42
199	0	42
42	0	0
42	0	0
72	0	5
72	0	5
199	0	731
199	0	731
199	0	0
463	0	206
199	0	170
463	0	9
81	0	81
463	0	602
1	0	1212
463	0	802
463	0	802
463	0	802
463	0	802
0	0	32
0	0	32
0	0	32
0	0	32
16	0	97
16	0	97
15	0	1036
81	0	1413
463	0	1377
463	0	1377
463	0	1377
463	0	1377
463	0	1377
463	0	1377
463	0	1377
